REPORT_DATE,AGE_GROUP,ENGAGEMENT_CATEGORY,CITYWIDE_COUNT
01/05/2021,21-24 Years,UNDERCARE AWAITING SCHEDULING,1607
01/05/2021,21-24 Years,UNENGAGED,6
01/05/2021,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,603
01/05/2021,21-24 Years,WECARE VOCATIONAL REHABILITAT,8
01/05/2021,21-24 Years,WELLNESS/REHAB PROGRAM,22
12/04/2020,16-17 Years,DASIS CASES,4
12/04/2020,16-17 Years,EMPLOYMENT-BUDGETED,6
12/04/2020,16-17 Years,STUDENT OVER AGE 15,15
12/04/2020,16-17 Years,UNDERCARE AWAITING SCHEDULING,1
12/04/2020,18-20 Years,ACTIVE SINGLE ISSUE CASES,31
12/04/2020,18-20 Years,ASSIGNED JOB SEARCH,118
12/04/2020,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,4
12/04/2020,18-20 Years,CHILD UNDER 3 MONTHS,2
12/04/2020,18-20 Years,DASIS CASES,30
12/04/2020,18-20 Years,EDUCATION/TRAINING,312
12/04/2020,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,11
12/04/2020,18-20 Years,EMPLOYMENT- GRANT DIVERSION,8
12/04/2020,18-20 Years,EMPLOYMENT-BUDGETED,89
12/04/2020,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,8
12/04/2020,18-20 Years,FAIR HEARING (CONTESTING),2
12/04/2020,18-20 Years,FAIR HEARING (NOT CONTESTING),3
12/04/2020,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1379
12/04/2020,18-20 Years,NEEDED AT HOME,10
12/04/2020,18-20 Years,OTHER WORK ACTIVITY,5
12/04/2020,18-20 Years,PENDING WECARE SCHEDULING/OUT,18
12/04/2020,18-20 Years,RECEIVING SSI,13
12/04/2020,18-20 Years,SANCTION IN EFFECT,10
12/04/2020,18-20 Years,SSI PENDING/APPEALING,8
12/04/2020,18-20 Years,STUDENT OVER AGE 15,62
12/04/2020,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,17
12/04/2020,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
12/04/2020,18-20 Years,TEMP. INCAPACITATED - HEALTH,68
12/04/2020,18-20 Years,TEMPORARILY EXEMPT,32
12/04/2020,18-20 Years,UNDERCARE AWAITING SCHEDULING,473
12/04/2020,18-20 Years,UNENGAGED,3
12/04/2020,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,77
12/04/2020,18-20 Years,WECARE VOCATIONAL REHABILITAT,4
12/04/2020,18-20 Years,WELLNESS/REHAB PROGRAM,4
12/04/2020,21-24 Years,ACTIVE SINGLE ISSUE CASES,109
12/04/2020,21-24 Years,ASSIGNED JOB SEARCH,979
12/04/2020,21-24 Years,AWAITING CONCILIATION SCHED.,3
12/04/2020,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,35
12/04/2020,21-24 Years,CHILD UNDER 3 MONTHS,8
12/04/2020,21-24 Years,DASIS CASES,393
12/04/2020,21-24 Years,EDUCATION/TRAINING,501
12/04/2020,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,91
12/04/2020,21-24 Years,EMPLOYMENT- GRANT DIVERSION,62
12/04/2020,21-24 Years,EMPLOYMENT-BUDGETED,635
12/04/2020,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,45
12/04/2020,21-24 Years,FAIR HEARING (CONTESTING),20
12/04/2020,21-24 Years,FAIR HEARING (NOT CONTESTING),7
12/04/2020,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,4545
12/04/2020,21-24 Years,NEEDED AT HOME,57
12/04/2020,21-24 Years,OTHER WORK ACTIVITY,8
12/04/2020,21-24 Years,PENDING CASAC SCHEDULING/OUT,3
12/04/2020,21-24 Years,PENDING SUITABLE WEP ASSIGN.,2
12/04/2020,21-24 Years,PENDING WECARE SCHEDULING/OUT,94
12/04/2020,21-24 Years,RECEIVING SSI,43
12/04/2020,21-24 Years,SANCTION IN EFFECT,81
12/04/2020,21-24 Years,SSI PENDING/APPEALING,50
12/04/2020,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,53
12/04/2020,21-24 Years,SUBSTANCE ABUSE TREATMENT,29
12/04/2020,21-24 Years,TEMP. INCAPACITATED - HEALTH,175
12/04/2020,21-24 Years,TEMPORARILY EXEMPT,164
12/04/2020,21-24 Years,UNDERCARE AWAITING SCHEDULING,1577
12/04/2020,21-24 Years,UNENGAGED,4
12/04/2020,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,641
12/04/2020,21-24 Years,WECARE VOCATIONAL REHABILITAT,9
12/04/2020,21-24 Years,WELLNESS/REHAB PROGRAM,24
11/04/2020,16-17 Years,DASIS CASES,4
11/04/2020,16-17 Years,EMPLOYMENT-BUDGETED,5
11/04/2020,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
11/04/2020,16-17 Years,STUDENT OVER AGE 15,16
11/04/2020,16-17 Years,UNDERCARE AWAITING SCHEDULING,3
11/04/2020,18-20 Years,ACTIVE SINGLE ISSUE CASES,24
11/04/2020,18-20 Years,ASSIGNED JOB SEARCH,141
11/04/2020,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,4
11/04/2020,18-20 Years,CHILD UNDER 3 MONTHS,1
11/04/2020,18-20 Years,DASIS CASES,31
11/04/2020,18-20 Years,EDUCATION/TRAINING,351
11/04/2020,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,14
11/04/2020,18-20 Years,EMPLOYMENT- GRANT DIVERSION,8
11/04/2020,18-20 Years,EMPLOYMENT-BUDGETED,95
11/04/2020,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,12
11/04/2020,18-20 Years,FAIR HEARING (CONTESTING),2
11/04/2020,18-20 Years,FAIR HEARING (NOT CONTESTING),3
11/04/2020,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1467
11/04/2020,18-20 Years,NEEDED AT HOME,12
11/04/2020,18-20 Years,OTHER WORK ACTIVITY,6
11/04/2020,18-20 Years,PENDING WECARE SCHEDULING/OUT,22
11/04/2020,18-20 Years,RECEIVING SSI,15
11/04/2020,18-20 Years,SANCTION IN EFFECT,13
11/04/2020,18-20 Years,SSI PENDING/APPEALING,10
11/04/2020,18-20 Years,STUDENT OVER AGE 15,80
11/04/2020,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,19
11/04/2020,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
11/04/2020,18-20 Years,TEMP. INCAPACITATED - HEALTH,72
11/04/2020,18-20 Years,TEMPORARILY EXEMPT,24
11/04/2020,18-20 Years,UNDERCARE AWAITING SCHEDULING,468
11/04/2020,18-20 Years,UNENGAGED,1
11/04/2020,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,85
11/04/2020,18-20 Years,WECARE VOCATIONAL REHABILITAT,4
11/04/2020,18-20 Years,WELLNESS/REHAB PROGRAM,4
11/04/2020,21-24 Years,ACTIVE SINGLE ISSUE CASES,97
11/04/2020,21-24 Years,ASSIGNED JOB SEARCH,1031
11/04/2020,21-24 Years,AWAITING CONCILIATION SCHED.,3
11/04/2020,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,43
11/04/2020,21-24 Years,CHILD UNDER 3 MONTHS,7
11/04/2020,21-24 Years,DASIS CASES,406
11/04/2020,21-24 Years,EDUCATION/TRAINING,535
11/04/2020,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,89
11/04/2020,21-24 Years,EMPLOYMENT- GRANT DIVERSION,68
11/04/2020,21-24 Years,EMPLOYMENT-BUDGETED,679
11/04/2020,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,48
11/04/2020,21-24 Years,FAIR HEARING (CONTESTING),20
11/04/2020,21-24 Years,FAIR HEARING (NOT CONTESTING),7
11/04/2020,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,4871
11/04/2020,21-24 Years,NEEDED AT HOME,64
11/04/2020,21-24 Years,OTHER WORK ACTIVITY,10
11/04/2020,21-24 Years,PENDING CASAC SCHEDULING/OUT,3
11/04/2020,21-24 Years,PENDING SUITABLE WEP ASSIGN.,2
11/04/2020,21-24 Years,PENDING WECARE SCHEDULING/OUT,114
11/04/2020,21-24 Years,RECEIVING SSI,43
11/04/2020,21-24 Years,SANCTION IN EFFECT,106
11/04/2020,21-24 Years,SSI PENDING/APPEALING,57
11/04/2020,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,56
11/04/2020,21-24 Years,SUBSTANCE ABUSE TREATMENT,36
11/04/2020,21-24 Years,TEMP. INCAPACITATED - HEALTH,161
11/04/2020,21-24 Years,TEMPORARILY EXEMPT,163
11/04/2020,21-24 Years,UNDERCARE AWAITING SCHEDULING,1485
11/04/2020,21-24 Years,UNENGAGED,6
11/04/2020,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,696
11/04/2020,21-24 Years,WECARE VOCATIONAL REHABILITAT,10
11/04/2020,21-24 Years,WELLNESS/REHAB PROGRAM,26
10/07/2020,16-17 Years,ACTIVE SINGLE ISSUE CASES,1
10/07/2020,16-17 Years,DASIS CASES,4
10/07/2020,16-17 Years,EMPLOYMENT-BUDGETED,4
10/07/2020,16-17 Years,STUDENT OVER AGE 15,18
10/07/2020,16-17 Years,UNDERCARE AWAITING SCHEDULING,1
10/07/2020,18-20 Years,ACTIVE SINGLE ISSUE CASES,12
10/07/2020,18-20 Years,ASSIGNED JOB SEARCH,160
10/07/2020,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,10
10/07/2020,18-20 Years,CHILD UNDER 3 MONTHS,1
10/07/2020,18-20 Years,DASIS CASES,34
10/07/2020,18-20 Years,EDUCATION/TRAINING,336
10/07/2020,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,15
10/07/2020,18-20 Years,EMPLOYMENT- GRANT DIVERSION,8
10/07/2020,18-20 Years,EMPLOYMENT-BUDGETED,101
10/07/2020,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,6
10/07/2020,18-20 Years,FAIR HEARING (CONTESTING),3
10/07/2020,18-20 Years,FAIR HEARING (NOT CONTESTING),3
10/07/2020,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1499
10/07/2020,18-20 Years,NEEDED AT HOME,14
10/07/2020,18-20 Years,OTHER WORK ACTIVITY,38
10/07/2020,18-20 Years,PENDING WECARE SCHEDULING/OUT,26
10/07/2020,18-20 Years,RECEIVING SSI,14
10/07/2020,18-20 Years,SANCTION IN EFFECT,17
10/07/2020,18-20 Years,SSI PENDING/APPEALING,10
10/07/2020,18-20 Years,STUDENT OVER AGE 15,98
10/07/2020,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,18
10/07/2020,18-20 Years,SUBSTANCE ABUSE TREATMENT,3
10/07/2020,18-20 Years,TEMP. INCAPACITATED - HEALTH,63
10/07/2020,18-20 Years,TEMPORARILY EXEMPT,27
10/07/2020,18-20 Years,UNDERCARE AWAITING SCHEDULING,465
10/07/2020,18-20 Years,UNENGAGED,3
10/07/2020,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,95
10/07/2020,18-20 Years,WECARE VOCATIONAL REHABILITAT,4
10/07/2020,18-20 Years,WELLNESS/REHAB PROGRAM,5
10/07/2020,21-24 Years,ACTIVE SINGLE ISSUE CASES,48
10/07/2020,21-24 Years,ASSIGNED JOB SEARCH,1103
10/07/2020,21-24 Years,AWAITING CONCILIATION SCHED.,3
10/07/2020,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,78
10/07/2020,21-24 Years,CHILD UNDER 3 MONTHS,7
10/07/2020,21-24 Years,DASIS CASES,417
10/07/2020,21-24 Years,EDUCATION/TRAINING,494
10/07/2020,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,89
10/07/2020,21-24 Years,EMPLOYMENT- GRANT DIVERSION,65
10/07/2020,21-24 Years,EMPLOYMENT-BUDGETED,704
10/07/2020,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,39
10/07/2020,21-24 Years,FAIR HEARING (CONTESTING),21
10/07/2020,21-24 Years,FAIR HEARING (NOT CONTESTING),6
10/07/2020,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,5103
10/07/2020,21-24 Years,NEEDED AT HOME,69
10/07/2020,21-24 Years,OTHER WORK ACTIVITY,57
10/07/2020,21-24 Years,PENDING CASAC SCHEDULING/OUT,2
10/07/2020,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
10/07/2020,21-24 Years,PENDING WECARE SCHEDULING/OUT,162
10/07/2020,21-24 Years,RECEIVING SSI,44
10/07/2020,21-24 Years,SANCTION IN EFFECT,123
10/07/2020,21-24 Years,SSI PENDING/APPEALING,57
10/07/2020,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,51
10/07/2020,21-24 Years,SUBSTANCE ABUSE TREATMENT,40
10/07/2020,21-24 Years,TEMP. INCAPACITATED - HEALTH,175
10/07/2020,21-24 Years,TEMPORARILY EXEMPT,157
10/07/2020,21-24 Years,UNDERCARE AWAITING SCHEDULING,1370
10/07/2020,21-24 Years,UNENGAGED,9
10/07/2020,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,693
10/07/2020,21-24 Years,WECARE VOCATIONAL REHABILITAT,10
10/07/2020,21-24 Years,WELLNESS/REHAB PROGRAM,26
09/04/2020,16-17 Years,DASIS CASES,4
09/04/2020,16-17 Years,EMPLOYMENT-BUDGETED,5
09/04/2020,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
09/04/2020,16-17 Years,STUDENT OVER AGE 15,21
09/04/2020,18-20 Years,ACTIVE SINGLE ISSUE CASES,22
09/04/2020,18-20 Years,ASSIGNED JOB SEARCH,178
09/04/2020,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,5
09/04/2020,18-20 Years,CHILD UNDER 3 MONTHS,2
09/04/2020,18-20 Years,DASIS CASES,34
09/04/2020,18-20 Years,EDUCATION/TRAINING,361
09/04/2020,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,15
09/04/2020,18-20 Years,EMPLOYMENT- GRANT DIVERSION,11
09/04/2020,18-20 Years,EMPLOYMENT-BUDGETED,109
09/04/2020,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,7
09/04/2020,18-20 Years,FAIR HEARING (CONTESTING),3
09/04/2020,18-20 Years,FAIR HEARING (NOT CONTESTING),3
09/04/2020,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1482
09/04/2020,18-20 Years,NEEDED AT HOME,15
09/04/2020,18-20 Years,OTHER WORK ACTIVITY,48
09/04/2020,18-20 Years,PENDING WECARE SCHEDULING/OUT,44
09/04/2020,18-20 Years,RECEIVING SSI,15
09/04/2020,18-20 Years,SANCTION IN EFFECT,19
09/04/2020,18-20 Years,SSI PENDING/APPEALING,11
09/04/2020,18-20 Years,STUDENT OVER AGE 15,105
09/04/2020,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,20
09/04/2020,18-20 Years,SUBSTANCE ABUSE TREATMENT,4
09/04/2020,18-20 Years,TEMP. INCAPACITATED - HEALTH,61
09/04/2020,18-20 Years,TEMPORARILY EXEMPT,20
09/04/2020,18-20 Years,UNDERCARE AWAITING SCHEDULING,505
09/04/2020,18-20 Years,UNENGAGED,1
09/04/2020,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,79
09/04/2020,18-20 Years,WECARE VOCATIONAL REHABILITAT,4
09/04/2020,18-20 Years,WELLNESS/REHAB PROGRAM,5
09/04/2020,21-24 Years,ACTIVE SINGLE ISSUE CASES,57
09/04/2020,21-24 Years,ASSIGNED JOB SEARCH,1173
09/04/2020,21-24 Years,AWAITING CONCILIATION SCHED.,3
09/04/2020,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,42
09/04/2020,21-24 Years,CHILD UNDER 3 MONTHS,8
09/04/2020,21-24 Years,DASIS CASES,439
09/04/2020,21-24 Years,EDUCATION/TRAINING,497
09/04/2020,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,93
09/04/2020,21-24 Years,EMPLOYMENT- GRANT DIVERSION,82
09/04/2020,21-24 Years,EMPLOYMENT-BUDGETED,729
09/04/2020,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,43
09/04/2020,21-24 Years,FAIR HEARING (CONTESTING),23
09/04/2020,21-24 Years,FAIR HEARING (NOT CONTESTING),6
09/04/2020,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,5145
09/04/2020,21-24 Years,NEEDED AT HOME,74
09/04/2020,21-24 Years,OTHER WORK ACTIVITY,70
09/04/2020,21-24 Years,PENDING CASAC SCHEDULING/OUT,4
09/04/2020,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
09/04/2020,21-24 Years,PENDING WECARE SCHEDULING/OUT,244
09/04/2020,21-24 Years,RECEIVING SSI,44
09/04/2020,21-24 Years,SANCTION IN EFFECT,149
09/04/2020,21-24 Years,SSI PENDING/APPEALING,65
09/04/2020,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,55
09/04/2020,21-24 Years,SUBSTANCE ABUSE TREATMENT,48
09/04/2020,21-24 Years,TEMP. INCAPACITATED - HEALTH,174
09/04/2020,21-24 Years,TEMPORARILY EXEMPT,152
09/04/2020,21-24 Years,UNDERCARE AWAITING SCHEDULING,1472
09/04/2020,21-24 Years,UNENGAGED,9
09/04/2020,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,671
09/04/2020,21-24 Years,WECARE VOCATIONAL REHABILITAT,11
09/04/2020,21-24 Years,WELLNESS/REHAB PROGRAM,27
08/04/2020,16-17 Years,DASIS CASES,2
08/04/2020,16-17 Years,EMPLOYMENT-BUDGETED,7
08/04/2020,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
08/04/2020,16-17 Years,STUDENT OVER AGE 15,26
08/04/2020,16-17 Years,UNDERCARE AWAITING SCHEDULING,1
08/04/2020,18-20 Years,ACTIVE SINGLE ISSUE CASES,13
08/04/2020,18-20 Years,ASSIGNED JOB SEARCH,198
08/04/2020,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,10
08/04/2020,18-20 Years,DASIS CASES,34
08/04/2020,18-20 Years,EDUCATION/TRAINING,378
08/04/2020,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,15
08/04/2020,18-20 Years,EMPLOYMENT- GRANT DIVERSION,12
08/04/2020,18-20 Years,EMPLOYMENT-BUDGETED,104
08/04/2020,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,7
08/04/2020,18-20 Years,FAIR HEARING (CONTESTING),3
08/04/2020,18-20 Years,FAIR HEARING (NOT CONTESTING),3
08/04/2020,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1420
08/04/2020,18-20 Years,NEEDED AT HOME,16
08/04/2020,18-20 Years,OTHER WORK ACTIVITY,51
08/04/2020,18-20 Years,PENDING WECARE SCHEDULING/OUT,71
08/04/2020,18-20 Years,PREGNANT,1
08/04/2020,18-20 Years,RECEIVING SSI,13
08/04/2020,18-20 Years,SANCTION IN EFFECT,23
08/04/2020,18-20 Years,SSI PENDING/APPEALING,13
08/04/2020,18-20 Years,STUDENT OVER AGE 15,119
08/04/2020,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,20
08/04/2020,18-20 Years,SUBSTANCE ABUSE TREATMENT,4
08/04/2020,18-20 Years,TEMP. INCAPACITATED - HEALTH,63
08/04/2020,18-20 Years,TEMPORARILY EXEMPT,35
08/04/2020,18-20 Years,UNDERCARE AWAITING SCHEDULING,531
08/04/2020,18-20 Years,UNENGAGED,5
08/04/2020,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,63
08/04/2020,18-20 Years,WECARE VOCATIONAL REHABILITAT,4
08/04/2020,18-20 Years,WELLNESS/REHAB PROGRAM,6
08/04/2020,21-24 Years,ACTIVE SINGLE ISSUE CASES,55
08/04/2020,21-24 Years,ASSIGNED JOB SEARCH,1226
08/04/2020,21-24 Years,AWAITING CONCILIATION SCHED.,3
08/04/2020,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,63
08/04/2020,21-24 Years,CHILD UNDER 3 MONTHS,8
08/04/2020,21-24 Years,DASIS CASES,456
08/04/2020,21-24 Years,EDUCATION/TRAINING,512
08/04/2020,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,104
08/04/2020,21-24 Years,EMPLOYMENT- GRANT DIVERSION,91
08/04/2020,21-24 Years,EMPLOYMENT-BUDGETED,765
08/04/2020,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,50
08/04/2020,21-24 Years,FAIR HEARING (CONTESTING),24
08/04/2020,21-24 Years,FAIR HEARING (NOT CONTESTING),7
08/04/2020,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,4993
08/04/2020,21-24 Years,NEEDED AT HOME,75
08/04/2020,21-24 Years,OTHER WORK ACTIVITY,72
08/04/2020,21-24 Years,PENDING CASAC SCHEDULING/OUT,4
08/04/2020,21-24 Years,PENDING SUITABLE WEP ASSIGN.,5
08/04/2020,21-24 Years,PENDING WECARE SCHEDULING/OUT,369
08/04/2020,21-24 Years,RECEIVING SSI,36
08/04/2020,21-24 Years,SANCTION IN EFFECT,159
08/04/2020,21-24 Years,SSI PENDING/APPEALING,65
08/04/2020,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,55
08/04/2020,21-24 Years,SUBSTANCE ABUSE TREATMENT,55
08/04/2020,21-24 Years,TEMP. INCAPACITATED - HEALTH,192
08/04/2020,21-24 Years,TEMPORARILY EXEMPT,192
08/04/2020,21-24 Years,UNDERCARE AWAITING SCHEDULING,1461
08/04/2020,21-24 Years,UNENGAGED,29
08/04/2020,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,575
08/04/2020,21-24 Years,WECARE VOCATIONAL REHABILITAT,12
08/04/2020,21-24 Years,WELLNESS/REHAB PROGRAM,29
07/06/2020,16-17 Years,DASIS CASES,2
07/06/2020,16-17 Years,EMPLOYMENT-BUDGETED,9
07/06/2020,16-17 Years,STUDENT OVER AGE 15,29
07/06/2020,18-20 Years,ACTIVE SINGLE ISSUE CASES,22
07/06/2020,18-20 Years,ASSIGNED JOB SEARCH,231
07/06/2020,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,10
07/06/2020,18-20 Years,CHILD UNDER 3 MONTHS,1
07/06/2020,18-20 Years,DASIS CASES,33
07/06/2020,18-20 Years,EDUCATION/TRAINING,419
07/06/2020,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,15
07/06/2020,18-20 Years,EMPLOYMENT- GRANT DIVERSION,18
07/06/2020,18-20 Years,EMPLOYMENT-BUDGETED,115
07/06/2020,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,6
07/06/2020,18-20 Years,FAIR HEARING (CONTESTING),3
07/06/2020,18-20 Years,FAIR HEARING (NOT CONTESTING),4
07/06/2020,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1239
07/06/2020,18-20 Years,NEEDED AT HOME,16
07/06/2020,18-20 Years,OTHER WORK ACTIVITY,55
07/06/2020,18-20 Years,PENDING WECARE SCHEDULING/OUT,90
07/06/2020,18-20 Years,RECEIVING SSI,11
07/06/2020,18-20 Years,SANCTION IN EFFECT,26
07/06/2020,18-20 Years,SSI PENDING/APPEALING,16
07/06/2020,18-20 Years,STUDENT OVER AGE 15,149
07/06/2020,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,19
07/06/2020,18-20 Years,SUBSTANCE ABUSE TREATMENT,2
07/06/2020,18-20 Years,TEMP. INCAPACITATED - HEALTH,56
07/06/2020,18-20 Years,TEMPORARILY EXEMPT,231
07/06/2020,18-20 Years,UNDERCARE AWAITING SCHEDULING,344
07/06/2020,18-20 Years,UNENGAGED,1
07/06/2020,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,49
07/06/2020,18-20 Years,WECARE VOCATIONAL REHABILITAT,2
07/06/2020,18-20 Years,WECARE/CONCURRENT ACTIVITY,3
07/06/2020,18-20 Years,WELLNESS/REHAB PROGRAM,11
07/06/2020,21-24 Years,ACTIVE SINGLE ISSUE CASES,41
07/06/2020,21-24 Years,ASSIGNED JOB SEARCH,1310
07/06/2020,21-24 Years,AWAITING CONCILIATION SCHED.,5
07/06/2020,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,85
07/06/2020,21-24 Years,CHILD UNDER 3 MONTHS,2
07/06/2020,21-24 Years,DASIS CASES,453
07/06/2020,21-24 Years,EDUCATION/TRAINING,525
07/06/2020,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,100
07/06/2020,21-24 Years,EMPLOYMENT- GRANT DIVERSION,122
07/06/2020,21-24 Years,EMPLOYMENT-BUDGETED,794
07/06/2020,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,47
07/06/2020,21-24 Years,FAIR HEARING (CONTESTING),25
07/06/2020,21-24 Years,FAIR HEARING (NOT CONTESTING),8
07/06/2020,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,4514
07/06/2020,21-24 Years,NEEDED AT HOME,85
07/06/2020,21-24 Years,OTHER WORK ACTIVITY,78
07/06/2020,21-24 Years,PENDING SUITABLE WEP ASSIGN.,1
07/06/2020,21-24 Years,PENDING WECARE SCHEDULING/OUT,455
07/06/2020,21-24 Years,RECEIVING SSI,40
07/06/2020,21-24 Years,SANCTION IN EFFECT,180
07/06/2020,21-24 Years,SSI PENDING/APPEALING,75
07/06/2020,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,59
07/06/2020,21-24 Years,SUBSTANCE ABUSE TREATMENT,60
07/06/2020,21-24 Years,TEMP. INCAPACITATED - HEALTH,190
07/06/2020,21-24 Years,TEMPORARILY EXEMPT,771
07/06/2020,21-24 Years,UNDERCARE AWAITING SCHEDULING,938
07/06/2020,21-24 Years,UNENGAGED,5
07/06/2020,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,427
07/06/2020,21-24 Years,WECARE VOCATIONAL REHABILITAT,48
07/06/2020,21-24 Years,WECARE/CONCURRENT ACTIVITY,5
07/06/2020,21-24 Years,WELLNESS/REHAB PROGRAM,93
06/04/2020,16-17 Years,DASIS CASES,2
06/04/2020,16-17 Years,EMPLOYMENT-BUDGETED,11
06/04/2020,16-17 Years,STUDENT OVER AGE 15,29
06/04/2020,18-20 Years,ACTIVE SINGLE ISSUE CASES,16
06/04/2020,18-20 Years,ASSIGNED JOB SEARCH,251
06/04/2020,18-20 Years,AWAITING CONCILIATION SCHED.,1
06/04/2020,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,12
06/04/2020,18-20 Years,DASIS CASES,36
06/04/2020,18-20 Years,EDUCATION/TRAINING,464
06/04/2020,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,16
06/04/2020,18-20 Years,EMPLOYMENT- GRANT DIVERSION,21
06/04/2020,18-20 Years,EMPLOYMENT-BUDGETED,129
06/04/2020,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,13
06/04/2020,18-20 Years,FAIR HEARING (CONTESTING),4
06/04/2020,18-20 Years,FAIR HEARING (NOT CONTESTING),3
06/04/2020,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,883
06/04/2020,18-20 Years,NEEDED AT HOME,17
06/04/2020,18-20 Years,OTHER WORK ACTIVITY,55
06/04/2020,18-20 Years,PENDING WECARE SCHEDULING/OUT,100
06/04/2020,18-20 Years,RECEIVING SSI,11
06/04/2020,18-20 Years,SANCTION IN EFFECT,38
06/04/2020,18-20 Years,SSI PENDING/APPEALING,16
06/04/2020,18-20 Years,STUDENT OVER AGE 15,166
